ciphertext,predicted_key_length,correct_key_length,predicted_key,correct_key
XXUCL GJCYMN TTYYCR YPUCM MFONC TIXPWVPE GJCYMN NZACB VZRNECRV,6,6,CEMZEH,LJRYAR
YFEOO NQFSA MJZHNFTG VTCMH FIQJGF SRUT FIQJGF LFSEG MPFGZ BFEXO WPTNR EPUARN WKISCVSX KEMNQ,10,10,RBTDABCCOP,RBTDABCCOP
ZSLS HXAOKF ZWDKV CEYWFWQL CEYWFWQL TKVWD HXAOKF ZWDKV,8,8,IGNYUJTU,WSSSSZHH
TDBJ LRGCMD SGCDHA CCBOW MWMN,9,9,QDIJWTNVY,QDIJWTNVY
XNMZPJXZ OTJZN HOKJJX HQIKG RDZCQS BDIJTZTJ JVVF IDRMKM JJRGQ AOBGSKMG BUMNI CJTQJ,4,4,CFGV,CFGV
TTPLO WFZKLW PHWU SSJLSQYH GLNHS HUWKYO GRYQP DRLIN PVIQS,9,9,HFMHDUXKD,HFMHDUXKD
LOVJ JJCY BWFNM BRPCSMFG FUAUB BWFNM JJCY IIHC YECQMS KWRQKA EGLMBGAK EREJVSTN,9,9,IOCJGJJYF,IOCJGJJYF
OYAJ BQOCS FDTWB WHIJZL DXGNO APYWGC UVAAF XMKNA ETNONG,6,6,LYHJPC,LYHJPC
KMJTRHGI GPXD WIOAS YXKHCIUT GLELHG,3,3,PED,PED
QAWHZ GXNWZ NSYDPN SOUHZ DPVUK OWEK FKCHO FRCPJPBN DPHWY YUEDZX MWEW NSYDPN SOUHZ YTZQAC,6,6,JWLWLK,JWLWLK
LNZUSXHJ AUQEE HBFMXH RHTJE MTKBI OYLXDJKU RHTJE FDMXTG LNZUSXHJ FEIXB,3,3,QFT,QFT
GOVXJN DEFUG PPJJEI MFTGB KYKXQD CECBQ TVTR MQHGD NETBY WFHNT KYKXQD CECBQ TVTR MQHGD,6,6,RQCQVA,RQCQVA
TTSQP TTSQP JTEJX SNHJZBWF IMQF WNSBSFWQ AFUF HFLFSQOJ IJXIT,5,5,XFBFM,XFBFM
VCIZX BHUVBYXD QZDBKQ AFRYR VCIZX IHDYSL IHDYSL VXHYCH VXHYCH,6,6,ZOROUG,ZOROUG
POTVW GWBTN POTVW FQQMXMBM MQZPOZ FQQMXMBM NIDI MQZPOZ RMVTY KSXRMB DSOOVOZO XIBRWX LKBK EYZVL,2,2,IK,IK
SSWNB TPZWQ CKEVZP PUAVPT JACZO FNFL VPNYA HCCNQ BJHSQA OTDSGE,6,6,AXIAZB,LOLCNM
JIUBZT OEQFJ OVDJF RQYLI BZNSO IUOC KAYU QKNESYMG OEQFJ FHTF PDILNJLZ OVDJF XKWHJL RQYLI QJTSD,6,6,HAFUVC,HAFUVC
ZTDCYI ZTDCYI FDQZXZBZ NVDV GJBGN RYMVY FDQZXZBZ ZTDCYI ZTDCYI RZVGY YKOK QSBOIOMO RYMVY GJBGN,2,2,KV,KV
CSTIB TOXXSD GYTXIH LUPBS XIBPE ZYKURUVU HQXQ HQXQ TOXXSD,2,2,QE,QE
ZGDEUK UIBRLT JTNMV TUOQN LKQG EJVTY,7,7,KIKXGXF,KIKXGXF
SRTDZ KGDHR FSPD FSPD XACHPWNH XACHPWNH,4,4,WDCS,WDCS
DUNY WFGHYL NSQYOH BCFIF HYFJI,7,7,AUUYUXR,AUUYUXR
XEDTGH MMZVT SYPWF WMNCL JKFS WINDVZ JKFS PIEAEMXO PSNA NUKPUX OAJHCN NWXVP OIRJZ,10,10,IGKMSUAYWR,IGKMSUAYWR
XLSAR NLETZ XLSAR NLETZ WFHTBFOF LCSIE LCSIE WSMIP BCEBM WSMIP BCEBM,5,5,RLLWQ,BXBPO
WCXA VTVE MGWGP VAZGREJX EMPZXT LEDEQ TYLAQR DSMC LEDEQ HALT JILDH YSRDW FETS OKKEFXTI PQMJSN,5,5,TCEAS,TCEAS
AIBT RAMPMK LGOTL FDVBT KBEZBZ XRIZLV XRIZLV UHSWI PMEAG MGBADF ZQXATJ AIBT BGAMT PDJIL LTIS,6,6,XIITPS,XIITPS
LGHPM TAPLMR EETFIT YMNLGN QMHGH,5,5,ECWEY,ECWEY
LDDQZF YTHQJB FJFUY QRKVNM AXYSU RCAGR FJFUY KXMZM XWYCSA,3,3,JVO,JVO
KKKCAE RAIGP YZXCJ HZBQEZDV KKKCAE XUGCQI XUGCQI YMKV,3,3,VMR,VMR
OJQWE YTAQO FVGS FFSTQ PAOUGG YTAQO,10,10,CVNSTRPPFA,CVNSTRPPFA
PUQNKR YKRHA JWXC DEHIU LCVDOJ,8,8,AWXGWECW,AWXGWECW
ARYSHS HHWWW ILMF XHIPE HTIMPK ATZJYXWP WFET,3,3,LTF,LTF
MOBNMG ECQQ DOEXOGOU LGRT WKDUVKPX QAQXWT ABQJBH XERAPP,8,8,XQIGYTBC,XQIGYTBC
PCJZ UUKUUZ EYOMAI UKXNE CFPR IOSGDDWA UNZM YEQQZ NBXXF FXYDFA SAFUK IWKN VKVXNS IFQKX FQSF,9,9,MCQZFWRNG,MCQZFWRNG
HAPYO OGCSQP ZZPCY HAPYO YMQPX TVRQLRCQ FRWXM ZZPCY XABRW PYGL OGCSQP QLFY ZZPCY HAPYO,4,4,LMYN,LMYN
SXVOQBGT NDQP KSJBCTBH ETAVR TDGVG ETAVR MNIRRK SPDD TDGVG SXVOQBGT,5,5,XPPKD,XPPKD
CDEO JHVZE LNUWR FDDO FNSKZB ELZVUG VRCZF PYRUA GHWZQ KOZBD CDEO,10,10,ZDLOCDKOQP,ZDLOCDKOQP
NCVCJE IGTJZM TONLGM HFJCP XDBVTCVG QDXKLITZ XZVFIT XDGNCV XDBVTCVG QDXKLITZ YRZY ZKBZEKPI JZGCU AMR,7,7,YECVVRG,YECVVRG
BMNXK QDRDAU NTBAX DPWJZ PHUF UKDSE UWPTVO HGLTLS UWPTVO,6,6,FYWMHB,FYWMHB
XOOEW CTPSEC CTPSEC HPLWO NIAHPR NIAHPR HOCLO HPLWO AYEHZN,2,2,LA,LA
QCMRG ZFREP KXEGQ GMTLCW QVGR AOHSU IDTVBEVS,9,9,EOJNVNROA,EOJNVNROA
DLHUCA JVURBRFR KBFYR PWCVRF ZCQSY ABRRZ IWTSASES QOGO,2,2,ON,ON
MKXWSB YWGZN JMAZY RGIVYP KXDRGZ LCBNL LCBNL EMDJWC KYTTS JSIMCSBG EDFVF PTZVQ LPHK YWGZN,5,5,KCIPO,KCIPO
TBJQCLYU CYMD PPAH XDJER YDKLB OWMKAC TVTDJ FRPTS OUKJH SKIOVD VMKOP RPWXDP PRDAK WOSFHQ YDKLB,9,9,YTDMPHHQZ,YTDMPHHQZ
IFIPK KBUIFO ZEOXSFSB LATET NPAIH UHIFM AEPI WFUB ZMLPXW NPAIH XRYIPK LATET QZQLKV,10,8,DBQPLOEPGB,BBXEWITF
NEADPEJA PHIEFALD FALW JXVHGJ BDNLG SIQND HUNGQN OKLKF PQPBNP PQPBNP CALBDT VACYMGRW DYKNO OKLKF MGZ,6,6,SWUZCA,SWUZCA
GBELF CPDGXREE OVKBN FVTEPLYB JOYYO JLSIQ RRYLQ KHQC WBQEN JPMJOE PIROLO,9,9,KNNACHHXC,KNNACHHXC
QIWIYQ EKWB WREOO DSSIOU WSJFXHSO GBDD IOOMY ZPBOE MLQRHS RHMVR XYUMN KFVOP FLHOQFBH,3,3,KNV,BKD
RACHWAJA SHPZKQ FKJHG LEHDHA DWHOX ZSPD MWLW FRLZAU LEHDHA YALKNN NEJNJWNH QADHR LEHDHA LQPKXJ,5,5,WSWDJ,WSWDJ
HLEXPBND BBRAQK LXFKMG JBHKA ZMKNA,8,8,MDYTCXWZ,MDYTCXWZ
TTFL SBBSUK YZTXX NYITPH AQWBH BJJAAY SBBSUK TPBEA GYZQYUKQ XEWQW TTFL FRFSEG PLJT TPBEA,4,4,QTML,QTML
MEHJ ZWPIBNVS FSFUH KXVZM QCMIZ VSRNP JRKSWIFN,3,3,JEO,JEO
IQNL CZQBI SZGQE QZMGI LCRZIJHY SZGQE PTBZSULP KTYXIY QDLUHPMZ REXPG KDJBZI QNWYYZMJ SCACZW FSECJS,6,6,IAAYXT,FQULVV
LSHDP TXXLNR LDPPN LIKPS VSVKH QNHIK GMOLIQ HESE ZHKIMIVD ASQPH OCXGSR LSHDP ANVPC TCSLSM LIKPS,3,3,ZEE,ZEE
EPTXWLEX EPTXWLEX LPCANY ZHMLY IHAUHW TBWNS ZHMLY WJAN FXKRE EPTXWLEX YFGAXU QTCH UXUSB ORNRGNYR WJA,4,4,JHNT,JHNT
WHEAR OXJXCHKT GTID ATOED FBEKXG GTID OXJXCHKT KXAOH RLIWHK SDMP KXAOH,3,3,PDT,PDT
CAALY PUDUD CXRXX MJWKX MAOT BUPEIXXQ FOMEJ BHTCHT ORPCXX IXRGW NQULJ WGFJ MJWKX,6,6,QWUQWA,GMJAVT
GVOWA RKAX GFUOUBCB RKAX HLFVK JZASV CFRBBOYB OXHK TLOBZ RLIWL DIAEZK JSNBYBFO KXEX,6,6,KHXLXO,KHXLXO
BWAJIUMK JCLZDZXS GTYUG VMNMJD XODBJM CJJSF IVJV NSFQJ XZRZI UTJCUB BJGBJ VMNMJD KEHBTI,7,7,GOUFVQV,GOUFVQV
NVTZZ NDYGFFYU YOLV NKYFUUMS ZZDNG DPFCSJ YSVS,10,10,BHQVOSVSCS,BHQVOSVSCS
XSALV JDQLNR OVMMH VOVLG XSALV TJEIU CAWCFV LIHOZS THTZVI DMYHWY KZXQOF OZMPX DSAV IIULG,2,7,HU,BEJASHV
SLLLKQ ZGHAO IAKAQRJI IRQWP LBGZSJ YVYIJHEW,5,5,DNSEW,DNSEW
EFDTU BGKTWE PIKM XPFPFZ LRFI YQTCA,3,3,IRM,IRM
HMCJO NJRSMY KZBPJ XMOCW BLRL BLRL FPJWM HMCJO UZPWB XMOCW,2,2,LY,LY
ZYPY RGCCJCNC YGLFAP LWPFKL DCHJK KKBAJ DCHJK KKBAJ DCHJK KKBAJ,2,2,WY,WY
WDUJRD DSSQP JHBHC TTEGO TWHH AJIHDAFL AJIHDAFL IBVD MKFSI ECWQ ICKJM YRHHR,8,8,MCVCFDSW,HFBCDQWO
QBFNQJHP LXKADA ZTHWM BJWDU GFJL MPOT CJWF CZMTG ADUOT FJCWJG LXGJB NRECXQ MDYQ HXGGW,10,10,JBLAOTMLEL,VTZJDFQLJP
ODNQ OTSBUD XRXUX HRLBP ABNXAY PITQW KYBXZ,5,5,LDUQM,LDUQM
MJWXVSIF MHZZU EQMI DPUXHV QZQXXZ JZHUGMFV IUETC NPHEL QZQXXZ RRUQ AMZCP LBOSEFHX UCUFB,3,6,QRB,RBQTIO
UJYSTY UJYSTY HTUSJC RZIPQ ADEMZS NNAMPW,2,2,FL,FL
IXRTKT ICFNTT BEVNID CDTXJ RENXUC OAJGR XQZP RKZJUH LOVGZKTK,9,9,GPCMGCGUQ,GPCMGCGUQ
ASBBET IDVFOD JYVNJT ASBBET JVZY NMNA JKGRM RQFLQ CJXJN HCGGTZXC,9,9,YKMUACGVG,YKMUACGVG
QXLSM FYLIWMFF WEIIU ECSVT IECI RBDQ AMPMBFBU UCCPCO ZOYLXV KPBBI,8,8,EJIOBKQF,EJIOBKQF
HDCXXBRQ XEIRBR HDCXXBRQ YWMK AAFV RBQBNQMA OSDEZZNX RBLXJ ZTDX HQGHH MFPTZN AOILA XEIRBR PVPT RBLXJ,7,7,MVWTKXA,MVWTKXA
QAUOMZJS GNMDR MHKZSB OTLVYM RGFVC,5,5,VSOKZ,VSOKZ
QCCFR OUHL XOEU JTASYYFP BSWFC GCUPHSCY,3,3,UOL,UOL
GYBAN GYGVN GDBVN WOVVD WYNTV MSEROB KSQOCOBO BYNOA,4,4,KKKP,KKKP
IZUWI SJWXO SJYDJS YZGPQ ZVYM HRCQZ XNBSHC BKMQP,8,8,MLDLFWVF,MLDLFWVF
TGKR CEXCU IYVYVX TGKR JQZR UGJG,5,5,QGRRG,QGRRG
WYDJSW BZKEV RCCWZU WYTPM SLAA RGPUD HVRVF ZRVPUEBG AXGWK PIVLXC NPPRGV,8,8,HAKCEJPL,HAKCEJPL
XZLXT TYBEZJPU XIBMCH XIBMCH QISJLUME,6,6,QVAMFY,QVAMFY
KWZCT LWBDMV ZYBW BIPY KENPAP XURPKL EKPTZ TQCCVAPM RGOALMNC UKBMH,3,3,YIW,YIW
ATWKH VCWEJ RHUJGKND QNINAQ KTKRZ OMYAUJ LCIXR DDZQH CKQZI FUZDZ MXRHN ATWKH,6,6,OFTGWZ,OFTGWZ
